hotel_id,image_name,aes_mean,angle,comp,dist,st,aes_plus,tech_mean,white,cont,sat,sharp,bright,exp,tech_plus,exif_score,image_score
GHY652,GHY652_RECEPTION_Reception_Frames_Image_hdxlfshafbug.jpg,6,0,1,1,1,6,7,1,0,0,0,0,0,5,0,4
GHY652,GHY652_ROOM_Room_Frames_Image_drxfjmjvkhkz.jpg,7,1,1,0,0,6,8,1,1,0,0,0,0,6,0,5
GHY652,GHY652_RECEPTION_Reception_Frames_Image_zwpqwfeztsho.jpg,4,0,0,0,0,3,5,1,0,0,0,0,0,4,0,2
GHY652,GHY652_ROOM_Room_Frames_Image_mwrqsbtjxoto.jpg,4,0,1,0,1,4,6,0,1,0,0,0,0,4,0,3
GHY652,GHY652_ROOM_Room_Frames_Image_eripwmplxbsh.jpg,7,0,1,0,1,6,8,1,1,0,0,0,0,6,0,5
GHY652,GHY652_LOBBY_Lobby_Frames_Image_jchoedbewrmb.jpg,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0
GHY652,GHY652_ROOM_Room_Frames_Image_yqzahglnjwoo.jpg,7,0,1,0,0,6,8,0,1,0,0,0,0,6,0,5
GHY652,GHY652_WASHROOM_Washroom_Frames_Image_ftqanxwjnqtf.jpg,6,0,0,1,0,5,7,0,0,0,0,0,0,5,0,4
GHY652,GHY652_ROOM_Room_Frames_Image_ombxxqgjutnq.jpg,7,0,1,0,0,6,8,1,1,0,0,0,0,6,0,5
GHY652,GHY652_ROOM_Room_Frames_Image_qdknxgypbiqz.jpg,4,0,1,0,0,3,6,1,1,0,0,0,0,5,0,3
GHY652,GHY652_ROOM_Room_Frames_Image_tegskzpehpjd.jpg,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0
GHY652,GHY652_ROOM_Room_Frames_Image_yalgvxvogqug.jpg,6,0,1,0,1,5,6,0,1,0,0,0,0,4,0,4
GHY652,GHY652_WASHROOM_Washroom_Frames_Image_qbgeqkqcsspp.jpg,4,1,1,1,0,4,4,1,1,0,0,0,0,3,0,3
GHY652,GHY652_FACADE_Facade_Frames_Image_xvwjghposshh.jpg,7,1,1,0,1,7,7,0,0,0,0,0,0,5,0,5
GHY652,GHY652_ROOM_Room_Frames_Image_rapaextglzbo.jpg,6,0,1,0,0,5,7,0,1,0,0,0,0,5,0,4
GHY652,GHY652_ROOM_Room_Frames_Image_sqwtqnlreogv.jpg,7,0,0,0,0,6,7,1,1,0,0,0,0,5,0,4
GHY652,GHY652_RECEPTION_Reception_Frames_Image_tyktltpahcfg.jpg,7,0,1,0,0,6,8,1,1,0,0,0,0,6,0,5
GHY652,GHY652_ROOM_Room_Frames_Image_dctfclvlialg.jpg,6,0,0,0,1,5,7,0,1,0,0,0,0,5,0,4
GHY652,GHY652_ROOM_Room_Frames_Image_sglazysmewrs.jpg,4,1,1,0,1,4,6,1,1,0,1,0,0,5,0,3
GHY652,GHY652_LOBBY_Lobby_Frames_Image_pnjxsiuewtda.jpg,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0
GHY652,GHY652_ROOM_Room_Frames_Image_jbxblqdednjj.jpg,4,1,1,0,1,4,6,0,0,0,0,0,0,4,0,3
GHY652,GHY652_WASHROOM_Washroom_Frames_Image_bfvxmtycaaou.jpg,7,0,0,0,0,6,8,1,1,0,0,0,0,6,0,5
GHY652,GHY652_WASHROOM_Washroom_Frames_Image_vpystddvbtvk.jpg,4,1,1,1,0,4,4,1,1,0,0,0,0,3,0,3
GHY652,GHY652_ROOM_Room_Frames_Image_avayqylxnazu.jpg,6,0,1,0,1,5,7,0,1,0,0,0,0,5,0,4
GHY652,GHY652_ROOM_Room_Frames_Image_ufajvflokjam.jpg,8,0,0,0,0,7,8,1,0,0,0,0,0,6,0,5
GHY652,GHY652_ROOM_Room_Frames_Image_dzhogujuichg.jpg,6,0,0,0,1,5,7,0,1,0,0,0,0,5,0,4
GHY652,GHY652_FACADE_Facade_Frames_Image_wtywtrvuzmic.jpg,7,1,1,1,0,7,8,0,0,0,0,0,0,6,0,5
